CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8,Ave Joelle week 0,Ave Joelle week 1,Ave Joelle week 2,Ave Joelle week 4,Ave Joelle week 6,Ave Joelle week 8
Csa08g049900,22.48517115,30.63266953,35.47728966,34.64829043,36.09389262,38.85003028,13.09904269,22.09399311,26.67420904,26.14734996,28.82832167,27.09567356
Csa08g049980,2.404157694,2.209126445,1.397404111,1.571283121,2.223107252,2.903836561,1.19036692,0.420664833,0.698208932,0.630649783,0.50987933,0.679051996
Csa08g050120,3.816043989,5.344703419,6.868317275,7.000150545,6.310471542,6.69077876,1.106511046,1.52085293,1.82889604,2.074480564,1.784448263,1.840779981
Csa08g050130,4.005428702,1.1459133,1.112445405,1.100107645,1.04439065,1.75867982,1.600730745,0.29751479,0.320923391,0.194114358,0.355612876,0.468100018
Csa08g050140,5.195156373,7.07634047,3.84838648,3.167860881,3.532701357,4.49373544,2.800895775,6.356678311,4.672650142,4.491558316,3.983009412,5.310288208
Csa08g050160,0.986723635,2.04566676,1.680649639,3.067904446,2.510912788,1.803981205,1.625223785,1.148895848,2.394386566,1.537835675,1.39353944,1.131013185
Csa08g050200,9.667826459,4.307310451,4.39833559,2.898535565,3.656189736,4.12656527,7.327425406,2.643268248,2.577967885,1.331358695,2.278349388,1.493003867
Csa08g050210,4.805815904,4.221874453,1.822549297,2.777546716,2.70092999,2.993264813,3.645671674,2.023315425,1.999984834,1.304620051,1.201543994,1.903887861
Csa08g050240,6.501790761,6.582152262,7.433598132,6.541016546,7.137627581,9.487959383,4.712852697,3.321519258,5.870136102,4.429848605,4.118809502,4.357505032
Csa08g050280,3.46470467,6.250993795,3.900961305,7.742706961,6.077888566,5.785333889,2.276914119,6.241602894,6.841120548,5.651097438,4.794749816,4.710062601
Csa08g050290,9.693635427,16.68638543,15.65911118,16.73585004,16.85620323,18.14863529,5.526326189,12.1365673,17.32631979,15.53869238,12.34055153,12.05749192
Csa08g050410,3.992610686,4.515749248,3.043537227,5.578962024,4.936511941,7.934558847,3.105866045,4.165264327,3.999361298,4.348081415,4.429829899,4.002916558
Csa08g050440,29.73874553,60.15076131,65.44179521,69.20769694,89.66122739,60.41768575,30.49434165,102.6757818,136.5044246,150.4127768,144.0340728,118.3080544
Csa08g050460,4.524856493,3.750280763,3.93210904,5.648977419,4.241192954,5.980120553,4.198822213,4.783964728,7.089432669,7.325154828,5.294772582,5.293063333
Csa08g050530,6.147592538,5.261156895,3.582802569,2.644743997,2.740446373,3.194876175,4.932063242,3.16095515,2.651681813,2.021844264,1.843416028,1.795887012
