Gene ID,LOG2Diff0,LOG2Diff1,LOG2Diff2,LOG2Diff4,LOG2Diff6,LOG2Diff8
Csa00510s020,0.56084761,0.450174141,-1.868707073,-0.41077483,0.540700566,0.727759587
Csa00511s020,-1.773175985,0.324181652,0.332656085,-0.375709833,0.306802291,1.185245791
Csa00511s060,0.371389491,1.112188305,-1.041227095,-0.7128316,1.134301086,-0.863820187
Csa00511s110,1.574286883,0.201397647,-1.28090279,-0.578070707,-0.459710466,0.542999434
Csa00512s050,0.720419322,0.297503041,-1.710370941,1.078489679,-0.531742657,0.145701556
Csa00512s060,1.082256318,0.798727996,-1.667775032,-0.331279792,0.441503992,-0.323433483
Csa00517s090,-1.623100124,0.695244849,1.095000726,-0.725648606,0.296932219,0.261570936
Csa00518s050,-0.117847716,0.874069778,-1.796690156,-0.241371125,0.8798783,0.401960919
Csa00518s070,0.357190398,0.945546253,0.023718558,-1.834707301,0.745289846,-0.237037754
Csa00518s090,0.746537775,1.073787911,-1.220979886,-0.097110726,0.660835988,-1.163071062
Csa00518s160,-1.826984148,0.796152905,0.234901669,-0.420981102,0.441977414,0.774933261
Csa00518s190,1.927212231,-0.134071643,-0.486588059,-0.749544073,-0.674840162,0.117831706
Csa00532s090,-1.034407064,0.123718505,-1.386094319,0.525851724,0.612683902,1.158247252
Csa00532s100,0.107412169,-0.048472888,-1.860852905,0.333477962,0.325573565,1.142862097
Csa00532s120,0.012929149,0.12680077,-1.801290355,0.002002362,0.404316376,1.255241697
Csa00532s160,1.469841043,-0.237322794,-1.565842387,0.51788954,-0.244172544,0.059607141
Csa00532s180,1.964188327,-0.020516182,-0.780883811,-0.487463643,-0.155850283,-0.519474408
Csa00532s210,-0.793345107,1.330692648,-0.70701917,-0.819416917,-0.190799564,1.17988811
Csa00532s320,-1.160207154,0.802937254,-0.853530464,1.249681435,0.579824562,-0.618705633
Csa00535s010,1.491513989,0.160635615,-1.382231748,-0.74382564,-0.057534426,0.53144221
Csa00535s020,0.766834103,-0.363700591,-1.099688373,-0.133003249,1.578522933,-0.748964823
Csa00535s030,0.652109046,-0.250180044,-1.244229504,0.158463764,-0.821079819,1.504916558
Csa00535s050,1.263585462,0.684796884,-1.218129488,-0.432828545,-0.929415172,0.631990858
Csa00535s060,0.502211227,1.364643954,-1.514723042,-0.69848922,0.026079826,0.320277255
Csa00543s040,0.578862817,0.554567914,-1.263991756,-1.290018264,0.50229057,0.918288719
Csa00544s030,0.386898483,1.146469466,-1.847707976,-0.123010307,0.144098457,0.293251877
Csa00544s070,0.846822676,-1.388422818,-0.459647476,-0.750293842,0.72246052,1.029080939
Csa00545s010,-0.416826975,0.637126052,-1.635870007,0.698710806,1.065223518,-0.348363393
Csa00549s010,1.722522464,0.336296294,-1.093983939,-0.843268731,-0.10836978,-0.013196308
Csa00550s010,0.421639291,0.396774242,-1.592040926,-0.712634091,0.234277987,1.251983497
Csa00555s010,-0.470689175,1.483710869,-1.15090413,0.019126451,-0.729626484,0.848382469
Csa00555s020,-0.298724437,0.296032059,0.590705277,-0.909801679,-1.179755247,1.501544028
Csa00555s030,-0.609525454,0.543037818,-1.324144009,-0.025412735,-0.179951527,1.595995907
Csa00555s070,-1.431990048,0.396798679,0.379543967,-0.297860868,-0.54906056,1.502568831
Csa00555s130,1.219616822,-0.788385453,-1.516679045,0.080353869,0.701424171,0.303669636
Csa00555s160,-0.229172011,-0.027821423,-1.809677678,1.036807244,0.697269267,0.332594602
Csa00555s260,1.249470727,-0.428638385,-1.382685978,-0.310914724,-0.221544865,1.094313224
Csa00555s270,0.250315481,0.235283605,-1.162740249,-1.271824167,0.893090843,1.055874487
Csa00555s280,1.606198016,0.882835791,-0.826784472,-0.432984318,-0.53056505,-0.698699968
Csa00566s040,0.656660754,0.447738062,-0.449818059,-0.878453155,-1.185995159,1.409867558
Csa00566s050,1.096909051,1.081566958,-1.532469179,-0.477224543,-0.219584837,0.05080255
Csa00566s080,-0.408681775,1.60598359,-1.008361098,-0.134922885,-0.807182186,0.753164354
Csa00566s100,-1.184051033,0.412892327,1.547649361,-0.336454449,0.421194421,-0.861230629
Csa00566s120,0.157734052,-0.355864872,1.751350075,-1.108717298,0.253778451,-0.698280408
Csa00566s130,-0.431162074,1.454126165,-1.501189055,0.355249945,-0.333660458,0.456635477
Csa00566s150,-0.192960044,-0.093816548,-0.993324211,-0.091959062,-0.54229032,1.914350184
Csa00566s180,1.05072394,0.713320359,-1.585304433,-0.395353798,-0.480843991,0.697457922
Csa00578s020,-0.560577807,0.791038076,-1.442289742,-0.084294044,-0.104513159,1.400636676
Csa00578s030,0.256462855,-0.452181505,-0.566185034,-1.043041835,1.822348502,-0.017402984
Csa00578s050,-1.553443435,0.69532772,-0.787321109,1.019405506,-0.03934292,0.665374239
Csa00578s060,1.929559497,-0.358936929,0.136423118,-0.748078923,-0.245045264,-0.713921499
Csa00579s050,0.451303146,-1.310989555,-0.528224532,-0.509509316,0.340882382,1.556537876
