CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8
Csa13g056010,3.419422879,2.561657605,2.966240079,2.306755957,1.901303842,2.159132364
Csa04g061940,96.25580702,149.5211978,91.78944332,65.39055647,62.40053836,73.65945729
Csa04g051870,71.09740733,34.8263962,21.60432562,36.95863007,44.0040607,53.37722611
Csa17g071320,3.567886923,2.659630693,2.70226521,3.34627472,2.868993724,3.647074904
Csa06g041320,11.94390337,3.796032178,4.911638536,12.92684844,4.365678538,10.59881086
Csa04g002860,5.284391496,5.064924106,4.85117728,4.160827462,4.040302352,5.098123733
Csa12g042090,1.451243451,1.932513277,1.661862424,1.841131851,2.382401948,1.952683505
Csa18g008080,2.582210507,1.593988725,1.985077599,2.0289988,1.81159027,2.650801887
Csa06g001570,4.494059598,4.320836749,4.07456425,3.510928536,4.062080041,4.811788139
Csa04g002810,3.637793266,3.99274501,3.411152813,3.626131494,3.548787888,4.507178061
Csa12g002840,8.513821799,11.00345285,9.709206971,9.072772628,9.33817361,10.09585459
Csa12g034590,6.585864082,6.102070126,4.661764885,3.98713355,4.754817343,6.135317001
Csa14g049390,3.897464517,4.708083343,8.081326712,6.626339862,7.555011585,8.628212267
Csa18g005930,7.914881871,5.600106166,5.866820711,8.011312613,7.764331321,7.73843806
Csa20g076090,60.10373216,32.57964344,25.75162412,48.2274184,40.5603505,51.57750085
Csa14g014760,68.47740848,100.3477101,84.48563845,108.2973218,103.5778233,122.9813638
Csa13g043130,29.75168175,38.02953571,28.92461995,18.1267802,17.40295501,17.17129905
Csa06g053760,9.699592467,7.13949801,5.254201433,6.018498711,6.022320891,6.11344113
Csa15g085760,8.41678608,7.004353682,5.63935634,5.152075815,5.753927822,5.423336023
Csa12g007680,2.030772891,3.140484489,3.724526648,5.047732782,7.467004249,11.2529122
Csa05g006380,4.375193922,11.21042154,12.30341928,14.10255041,12.4155592,13.25930706
Csa08g014190,5.14877796,3.909081355,2.272089821,4.034350034,4.221185607,4.601643927
Csa11729s010,15.02130037,1.858326178,14.08118654,49.46903554,11.86964614,17.3596357
Csa19g048590,87.57038556,48.64083968,92.11242762,132.4563055,101.0045211,79.40455344
Csa11g053750,4.64177787,7.101464242,4.596288193,2.638381525,2.98848441,4.03545343
